Order_ID,Order_Priority,Order_Quantity,Sales,Profit,Region,Product_Category,Product_Name,result
29319,Low,21,4429.69,983.55,Atlantic,Technology,Canon PC-428 Personal Copier,1
49088,Critical,15,4012.58,425.14,Atlantic,Office Supplies,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",0
53894,Critical,37,2756.17,1561.72,Atlantic,Furniture,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",0
11969,Not Specified,16,1684.96,553.06,Atlantic,Office Supplies,"Carina Mini System Audio Rack, Model AR050B",0
22368,Medium,34,2788.04,849.18,Atlantic,Office Supplies,"Carina 42""Hx23 3/4""W Media Storage Unit",0
4007,High,1,305.82,232.24,Atlantic,Office Supplies,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",0
11362,Low,9,6420.87,690.21,Atlantic,Technology,Canon PC1060 Personal Laser Copier,0
18788,Not Specified,27,566.12,19.33,Atlantic,Furniture,Telescoping Adjustable Floor Lamp,0
20033,Critical,5,2543.95,1011.32,Atlantic,Technology,Sharp AL-1530CS Digital Copier,0
22469,High,24,1482.81,678.63,Atlantic,Office Supplies,Euro Pro Shark Stick Mini Vacuum,0
22469,High,23,6693.28,40.32,Atlantic,Furniture,Hon 5100 Series Wood Tables,0
30243,Critical,21,4242.76,340.88,Atlantic,Technology,Canon PC-428 Personal Copier,1
32199,High,1,3672.89,3061.82,Atlantic,Technology,Canon imageCLASS 2200 Advanced Copier,0
33763,Not Specified,23,10791.38,234.79,Atlantic,Technology,Sharp AL-1530CS Digital Copier,0
36677,Low,38,23255.61,734.33,Atlantic,Technology,Canon Image Class D660 Copier,0
38310,High,4,62.45,141.76,Atlantic,Office Supplies,Hoover® Commercial Lightweight Upright Vacuum,0
47846,High,5,66.43,9.45,Atlantic,Furniture,Dana Swing-Arm Lamps,0
47750,Low,1,195.04,149.41,Atlantic,Office Supplies,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,0
5153,Critical,37,4896.93,1467.82,Atlantic,Furniture,SAFCO Folding Chair Trolley,1
25315,Low,36,7783.36,3506.24,Atlantic,Office Supplies,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,1
18432,High,15,217.66,24.91,Atlantic,Office Supplies,Holmes Odor Grabber,0
21223,Not Specified,8,435.29,122.41,Atlantic,Furniture,"Deflect-o EconoMat Nonstudded, No Bevel Mat",0
47108,Not Specified,7,131.55,43.74,Atlantic,Technology,Canon P1-DHIII Palm Printing Calculator,0
51494,Critical,42,493.56,12.73,Atlantic,Technology,TI 30X Scientific Calculator,0
11362,Low,32,3245.73,569.57,Atlantic,Furniture,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",1
13604,Not Specified,42,3609.88,1396.22,Atlantic,Furniture,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,0
19617,Low,38,952.47,270.69,Atlantic,Technology,TI 36X Solar Scientific Calculator,1
32869,Medium,49,2470.84,25.04,Atlantic,Furniture,"Deflect-o EconoMat Nonstudded, No Bevel Mat",0
35300,Medium,35,1445.6,126.03,Atlantic,Furniture,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",0
42918,High,46,410.43,54.58,Atlantic,Technology,"Sharp EL501VB Scientific Calculator, Battery Operated, 10-Digit Display, Hard Case",0
47846,High,25,2674.18,631.99,Atlantic,Furniture,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",1
47846,High,50,5513.82,1581.93,Atlantic,Furniture,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",1
50338,Not Specified,36,551.44,28.7,Atlantic,Technology,Sharp EL500L Fraction Calculator,0
14406,Medium,37,5610.84,2366.51,Atlantic,Technology,Canon MP41DH Printing Calculator,1
58368,High,5,325.43,76.11,Atlantic,Office Supplies,Fellowes Bankers Box™ Staxonsteel® Drawer File/Stacking System,0
59395,Critical,20,963.3,367.12,Atlantic,Office Supplies,Xerox 1885,0
11269,Low,39,2083.0525,354.96,Atlantic,Technology,i1000,1
13927,Low,26,188.05,21.41,Atlantic,Office Supplies,Xerox 1985,0
15463,Low,48,293.3,193.48,Atlantic,Office Supplies,Xerox 1920,0
22656,Not Specified,10,309.3,77.89,Atlantic,Technology,Belkin ErgoBoard™ Keyboard,0
24038,High,15,896.1805,82.04,Atlantic,Technology,8860,0
24067,High,46,2640.6865,751.38,Atlantic,Technology,252,1
24965,Low,6,2528.49,580.15,Atlantic,Office Supplies,GBC DocuBind 200 Manual Binding Machine,1
29382,High,34,684.66,35.09,Atlantic,Furniture,12-1/2 Diameter Round Wall Clock,0
36293,Medium,25,165.36,94.79,Atlantic,Office Supplies,Xerox 220,0
40480,Critical,19,7608.88,3049.45,Atlantic,Office Supplies,GBC DocuBind 200 Manual Binding Machine,1
48067,Low,31,3229.66,695.06,Atlantic,Technology,270c,1
48067,Low,24,4010.9375,630.7,Atlantic,Technology,T28 WORLD,1
49029,High,49,8223.07,2549.4,Atlantic,Technology,CF 888,1
44451,Critical,4,103.9,19.26,Atlantic,Furniture,"Seth Thomas 12"" Clock w/ Goldtone Case",0
45059,Not Specified,39,3401.8,508.87,Atlantic,Office Supplies,Fellowes Stor/Drawer® Steel Plus™ Storage Drawers,0
45731,Critical,19,146.63,30.06,Atlantic,Office Supplies,Xerox 1894,0
47108,Not Specified,26,258.11,9.95,Atlantic,Office Supplies,Xerox 1896,0
47108,Not Specified,9,1288.515,382.57,Atlantic,Technology,2180,0
50208,Medium,4,38.76,12.13,Atlantic,Office Supplies,Avery Hole Reinforcements,0
51525,Critical,18,360.24,36.24,Atlantic,Technology,Belkin 105-Key Black Keyboard,0
52933,Low,44,210.46,50.04,Atlantic,Office Supplies,Avery Non-Stick Binders,0
53894,Critical,29,5159.3725,1252.48,Atlantic,Technology,5125,1
56610,Medium,20,857.95,51.85,Atlantic,Technology,"Fellowes Mobile Numeric Keypad, Graphite",0
3393,High,7,127.74,5.57,Atlantic,Technology,Logitech Access Keyboard,0
7015,Not Specified,42,7143.927,2374.73,Atlantic,Technology,T65,1
9925,Critical,43,1751.68,771.83,Atlantic,Office Supplies,"Avery Trapezoid Extra Heavy Duty 4"" Binders",1
20455,Critical,7,381.1995,233.56,Atlantic,Technology,V 3600 Series,0
58055,Critical,26,208.6,56.45,Atlantic,Furniture,"Eldon® Expressions™ Wood Desk Accessories, Oak",0
59202,Medium,7,83.81,21.92,Atlantic,Office Supplies,Avery 485,0
59585,High,45,712.04,110.93,Atlantic,Technology,"AT&T Black Trimline Phone, Model 210",0
645,High,42,557.85,89.45,Atlantic,Office Supplies,GBC Binding covers,0
13120,Low,46,590.43,82.59,Atlantic,Office Supplies,GBC Binding covers,0
13120,Low,8,216.33,17.37,Atlantic,Office Supplies,GBC Standard Therm-A-Bind Covers,0
15618,Medium,9,50.93,34.98,Atlantic,Office Supplies,Xerox 1928,0
15618,Medium,44,792.8,26.27,Atlantic,Office Supplies,Xerox 1939,0
15618,Medium,14,782.4505,11.4,Atlantic,Technology,StarTAC 7760,0
16419,Not Specified,43,241.19,103.65,Atlantic,Office Supplies,Xerox 1978,0
30499,High,16,92.06,5.66,Atlantic,Office Supplies,Wausau Papers Astrobrights® Colored Envelopes,0
34978,High,49,165.51,269.91,Atlantic,Office Supplies,Self-Adhesive Ring Binder Labels,0
